1414065837,372.530724948,99.26239702
1414065885,370.040156673,1.88009784
1414065957,371.986398568,5.02492602
1414066000,370.755133604,3.195
1414066048,371.027586105,2.23313176
1414066123,372.422120697,45.11964443
1414066181,372.55408183,24.86276219
1414066257,372.39940235,4.31557522
1414066312,371.164754247,8.00146159
1414066377,372.158542077,1.80866
1414066437,370.549734909,34.22255282
1414066491,369.770957739,31.67806827
1414066530,369.267471144,69.10974959
1414066607,368.998600019,24.60080024
1414066675,368.264653341,42.3473701
1414066738,367.976835986,9.50869999
1414066774,367.921727079,0.2814
1414066823,368.062449673,1.1502
1414066904,368.800512762,5.48983768
1414066962,368.491006986,2.03463638
1414067027,368.15,0.216
1414067090,367.690971067,18.39046126
1414067155,367.062712671,31.94334526
1414067206,366.697478582,499.02282708
1414067268,366.652633413,75.29738929
1414067339,366.633844956,111.83944886
1414067389,365.262220863,133.82840011
1414067435,365.025596726,25.10192461
1414067510,365.120417216,74.58150674
1414067565,365.634685347,6.8551175
